message,severity,attributes,tags,timestamp
    at async loadConfigFromBundledFile (file:///app/node_modules/.pnpm/vite@7.3.2_@types+node@25.3.5_jiti@2.6.1_lightningcss@1.31.1_tsx@4.21.0_yaml@2.8.2/node_modules/vite/dist/node/chunks/config.js:35920:12),error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""7ef8a9a3-d212-4153-9970-1032727414c5"",""deployment"":""9d2f1af3-dfc7-4ab5-81b6-fa57f58b7eba"",""replica"":""6bf30bb2-9f13-4f6e-bdc7-300c7c83712f""}",2026-05-05T06:16:10.496769855Z
    at async bundleAndLoadConfigFile (file:///app/node_modules/.pnpm/vite@7.3.2_@types+node@25.3.5_jiti@2.6.1_lightningcss@1.31.1_tsx@4.21.0_yaml@2.8.2/node_modules/vite/dist/node/chunks/config.js:35808:17),error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""7ef8a9a3-d212-4153-9970-1032727414c5"",""deployment"":""9d2f1af3-dfc7-4ab5-81b6-fa57f58b7eba"",""replica"":""6bf30bb2-9f13-4f6e-bdc7-300c7c83712f""}",2026-05-05T06:16:10.496777293Z
    at async loadConfigFromFile (file:///app/node_modules/.pnpm/vite@7.3.2_@types+node@25.3.5_jiti@2.6.1_lightningcss@1.31.1_tsx@4.21.0_yaml@2.8.2/node_modules/vite/dist/node/chunks/config.js:35775:42),error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""7ef8a9a3-d212-4153-9970-1032727414c5"",""deployment"":""9d2f1af3-dfc7-4ab5-81b6-fa57f58b7eba"",""replica"":""6bf30bb2-9f13-4f6e-bdc7-300c7c83712f""}",2026-05-05T06:16:10.496781527Z
    at async resolveConfig (file:///app/node_modules/.pnpm/vite@7.3.2_@types+node@25.3.5_jiti@2.6.1_lightningcss@1.31.1_tsx@4.21.0_yaml@2.8.2/node_modules/vite/dist/node/chunks/config.js:35424:22),error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""7ef8a9a3-d212-4153-9970-1032727414c5"",""deployment"":""9d2f1af3-dfc7-4ab5-81b6-fa57f58b7eba"",""replica"":""6bf30bb2-9f13-4f6e-bdc7-300c7c83712f""}",2026-05-05T06:16:10.496785063Z
    at async _createServer (file:///app/node_modules/.pnpm/vite@7.3.2_@types+node@25.3.5_jiti@2.6.1_lightningcss@1.31.1_tsx@4.21.0_yaml@2.8.2/node_modules/vite/dist/node/chunks/config.js:25365:67),error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""7ef8a9a3-d212-4153-9970-1032727414c5"",""deployment"":""9d2f1af3-dfc7-4ab5-81b6-fa57f58b7eba"",""replica"":""6bf30bb2-9f13-4f6e-bdc7-300c7c83712f""}",2026-05-05T06:16:10.496788925Z
,info,"{""level"":""info""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""7ef8a9a3-d212-4153-9970-1032727414c5"",""deployment"":""9d2f1af3-dfc7-4ab5-81b6-fa57f58b7eba"",""replica"":""6bf30bb2-9f13-4f6e-bdc7-300c7c83712f""}",2026-05-05T06:16:10.496865383Z
> @workspace/careos@0.0.0 dev /app/artifacts/careos,info,"{""level"":""info""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""7ef8a9a3-d212-4153-9970-1032727414c5"",""deployment"":""9d2f1af3-dfc7-4ab5-81b6-fa57f58b7eba"",""replica"":""6bf30bb2-9f13-4f6e-bdc7-300c7c83712f""}",2026-05-05T06:16:10.496868502Z
> vite --config vite.config.ts --host 0.0.0.0,info,"{""level"":""info""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""7ef8a9a3-d212-4153-9970-1032727414c5"",""deployment"":""9d2f1af3-dfc7-4ab5-81b6-fa57f58b7eba"",""replica"":""6bf30bb2-9f13-4f6e-bdc7-300c7c83712f""}",2026-05-05T06:16:10.496871236Z
,info,"{""level"":""info""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""7ef8a9a3-d212-4153-9970-1032727414c5"",""deployment"":""9d2f1af3-dfc7-4ab5-81b6-fa57f58b7eba"",""replica"":""6bf30bb2-9f13-4f6e-bdc7-300c7c83712f""}",2026-05-05T06:16:10.496874196Z
[31mfailed to load config from /app/artifacts/careos/vite.config.ts[39m,error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""7ef8a9a3-d212-4153-9970-1032727414c5"",""deployment"":""9d2f1af3-dfc7-4ab5-81b6-fa57f58b7eba"",""replica"":""6bf30bb2-9f13-4f6e-bdc7-300c7c83712f""}",2026-05-05T06:16:10.496878095Z
